Cabor,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total
Archery,0,1,4,5,4,0,2,6,2,5,1,8,1,2,0,3,0,0,0,0,0,1,0,1,3,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletics,14,9,9,32,13,12,11,36,5,2,3,10,3,9,5,17,2,3,3,8,9,9,14,32,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Badminton,1,2,6,9,5,4,2,11,0,1,2,3,1,0,0,1,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseball,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basketball,1,1,0,2,0,0,1,1,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beach volleyball,1,0,2,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billiards and snooker,2,1,1,4,1,3,2,6,1,0,1,2,3,2,4,9,1,2,3,6,2,1,5,8,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowling,1,0,0,1,0,1,1,2,5,3,6,14,1,4,1,6,3,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxing,7,1,2,10,2,3,5,10,0,1,3,4,4,1,1,6,0,0,1,1,1,5,2,8,0,3,4,7,0,0,3,3,0,0,3,3,0,0,0,0,0,0,1,1
Bridge,2,1,2,5,4,1,3,8,0,0,0,0,2,2,1,5,1,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canoeing,5,2,3,10,6,5,2,13,0,0,1,1,0,0,0,0,2,5,3,10,2,0,5,7,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chess,1,0,0,1,1,2,2,5,0,0,1,1,1,4,3,8,0,0,0,0,6,2,2,10,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycling,2,8,4,14,12,8,9,29,7,3,1,11,2,4,7,13,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diving,0,0,1,1,1,3,4,8,7,3,1,11,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equestrian,2,2,1,5,3,2,2,7,0,0,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fencing,3,1,9,13,1,6,2,9,2,0,5,7,1,0,3,4,0,1,2,3,5,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fin swimming,2,3,7,12,7,8,2,17,0,0,0,0,1,0,1,2,0,0,0,0,6,5,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Football,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Futsal,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golf,2,3,0,5,2,1,1,4,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnastics,5,8,5,18,1,2,11,14,0,2,0,2,4,0,1,5,1,2,1,4,12,5,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judo,5,3,6,14,4,2,7,13,0,0,2,2,1,0,6,7,0,0,1,1,4,2,5,11,1,6,2,9,1,2,1,4,0,1,0,1,0,0,0,0,0,0,0,0
Karate,0,2,3,5,10,2,4,16,4,2,7,13,0,1,6,7,0,0,1,1,3,8,3,14,0,1,1,2,0,0,3,3,0,0,0,0,0,1,1,2,0,0,0,0
Kenpo,0,0,0,0,8,7,1,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,13,0,0,0,0,2,2,7,11,1,1,6,8,0,2,0,2,1,1,4,6
Oper Water Swimming,0,0,0,0,0,2,2,4,2,0,1,3,0,0,0,0,0,0,1,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paragliding,2,5,2,9,11,4,6,21,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pencak silat,0,4,4,8,9,5,2,16,3,1,7,11,0,1,3,4,0,0,3,3,6,7,5,18,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Petanque,3,1,2,6,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,2,0,2,4,1,1,2,4,0,0,0,0,0,0,0,0
Roller sports,0,2,2,4,12,9,1,22,0,0,0,0,0,0,0,0,0,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowing,3,3,3,9,3,1,1,5,0,0,1,1,1,1,1,3,0,0,2,2,3,4,2,9,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sailing,4,3,1,8,1,2,1,4,0,1,3,4,0,1,1,2,4,1,3,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepak takraw,4,0,0,4,1,3,2,6,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,2,1,1,2,4,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Shooting,1,6,5,12,2,0,2,4,2,4,3,9,0,0,0,0,1,1,0,2,7,3,3,13,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Soft tennis,0,4,5,9,7,2,2,11,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Softball,0,1,0,1,0,1,1,2,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swimming,8,7,5,20,6,8,10,24,5,10,3,18,0,2,5,7,17,9,13,39,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synchronised swimming,0,1,1,2,0,1,4,5,5,0,0,5,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table tennis,0,1,2,3,0,0,3,3,0,0,0,0,0,0,1,1,5,4,0,9,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taekwondo,7,3,2,12,6,3,5,14,0,2,2,4,4,3,5,12,0,1,4,5,3,5,6,14,0,1,2,3,1,3,5,9,0,1,3,4,0,0,1,1,0,0,1,1
Tennis,2,3,4,9,4,2,3,9,0,0,0,0,1,2,3,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
