Cabor,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total
Judo,8,4,3,15,1,3,5,9,0,0,3,3,1,2,6,9,0,1,0,1,3,1,7,11,1,4,3,8,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0
Karate,2,0,5,7,2,4,8,14,8,3,5,16,0,5,6,11,0,0,1,1,6,6,5,17,0,0,4,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Lawn bowls,1,3,1,5,0,0,0,0,4,1,1,6,0,1,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
Pencak silat,4,1,6,11,5,3,4,12,0,1,6,7,0,1,2,3,1,0,1,2,3,5,1,9,0,1,3,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
Petanque,4,4,1,9,0,0,0,0,0,0,3,3,0,1,0,1,0,0,1,1,1,1,6,8,0,0,0,0,2,0,5,7,2,3,2,7,0,0,0,0,0,0,0,0
Rowing,6,2,2,10,2,2,1,5,0,0,0,0,2,2,2,6,0,0,1,1,1,1,3,5,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rugby Seven,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sailing,10,2,2,14,1,2,1,4,2,2,4,8,0,5,1,6,4,6,3,13,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepak takraw,8,0,0,8,0,3,1,4,0,0,0,0,0,0,4,4,0,0,0,0,0,3,3,6,0,2,4,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Shooting,14,16,6,36,0,0,2,2,2,3,5,10,0,3,1,4,8,6,6,20,7,3,11,21,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Short track speed skating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softball,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squash,0,0,1,1,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synchronised swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table tennis,0,2,7,9,0,1,3,4,0,1,2,3,0,0,0,0,7,2,0,9,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taekwondo,8,3,2,13,1,1,1,3,2,1,5,8,1,4,6,11,0,0,0,0,3,4,6,13,1,1,4,6,0,1,5,6,0,1,2,3,0,0,0,0,0,0,0,0
Tennis,5,2,3,10,1,3,3,7,0,0,1,1,1,2,4,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Traditional boat race,0,1,1,2,1,0,2,3,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triathlon,1,2,0,3,0,0,0,0,1,0,0,1,1,2,4,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volleyball,2,2,1,5,2,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Waterskiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water polo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weightlifting,7,5,1,13,5,3,1,9,0,1,1,2,0,1,2,3,0,0,0,0,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrestling,0,3,2,5,1,2,2,5,0,0,0,0,0,4,4,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0
Polo,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muaythai,10,0,1,11,0,0,1,1,0,0,0,0,0,5,5,10,0,0,3,3,0,0,0,0,0,3,4,7,1,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0
Netball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wushu,2,1,3,6,1,0,5,6,2,2,1,5,2,2,3,7,1,2,0,3,6,3,1,10,1,2,4,7,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
