Cabor,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total
Archery,1,2,0,3,2,3,1,6,5,3,2,10,0,1,3,4,0,0,2,2,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletics,17,13,9,39,7,4,4,15,3,2,9,14,5,7,9,21,3,3,3,9,11,15,8,34,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Badminton,2,1,2,5,3,2,4,9,2,4,2,8,0,0,1,1,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basketball,0,0,1,1,0,2,0,2,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billiards and snooker,1,1,5,7,0,0,1,1,2,0,0,2,3,1,5,9,2,1,3,6,1,3,3,7,1,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowling,1,1,1,3,0,3,2,5,5,1,4,10,0,0,2,2,4,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxing,2,3,3,8,1,1,2,4,0,0,0,0,5,3,2,10,0,2,4,6,3,1,2,6,0,0,5,5,0,0,3,3,0,1,0,1,0,0,0,0,0,0,1,1
Canoeing,4,6,1,11,3,4,6,13,0,0,0,0,0,0,4,4,7,5,0,12,1,0,4,5,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycling,1,3,0,4,1,0,0,1,2,0,3,5,1,0,0,1,0,0,2,2,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diving,0,0,2,2,0,2,1,3,8,3,0,11,0,0,0,0,0,3,4,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equestrian,0,0,2,2,2,0,1,3,1,1,1,3,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fencing,1,2,7,10,0,1,5,6,0,0,2,2,0,4,2,6,3,3,7,13,8,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Field hockey,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floorball,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Football,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golf,4,0,1,5,0,2,1,3,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnastics,1,2,2,5,0,1,0,1,5,4,3,12,1,1,2,4,1,3,4,8,9,4,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judo,3,5,1,9,4,1,2,7,0,0,5,5,1,0,2,3,0,2,4,6,2,0,6,8,2,3,2,7,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Netball,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Pencak silat,3,1,0,4,3,3,5,11,3,2,3,8,0,0,3,3,1,1,6,8,3,5,2,10,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,1,0,0,0,0
Petanque,8,0,0,8,0,1,0,1,1,3,1,5,0,0,0,0,0,0,0,0,1,2,4,7,0,0,2,2,0,0,8,8,0,4,5,9,0,0,0,0,0,0,0,0
Rowing,2,4,3,9,8,6,4,18,0,0,1,1,0,1,1,2,0,1,3,4,8,4,1,13,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rugby sevens,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sailing,2,6,8,16,0,0,3,3,7,5,2,14,1,2,0,3,10,7,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepak takraw,5,1,0,6,0,0,2,2,1,2,2,5,0,1,1,2,0,1,7,8,0,0,2,2,3,3,0,6,0,2,3,5,1,0,1,2,0,0,2,2,0,0,0,0
Shooting,14,7,3,24,0,0,0,0,2,8,6,16,1,1,3,5,5,9,7,21,4,1,5,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softball,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squash,0,0,2,2,0,2,1,3,4,2,0,6,0,0,3,3,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swimming,1,10,5,16,1,8,7,16,3,4,4,11,0,2,11,13,23,12,7,42,10,2,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synchronised swimming,0,0,0,0,0,0,3,3,1,2,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table tennis,1,3,2,6,0,0,1,1,0,1,3,4,0,1,0,1,6,1,3,10,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taekwondo,3,2,3,8,2,1,3,6,0,3,3,6,3,3,2,8,2,0,6,8,5,3,0,8,0,1,1,2,0,0,4,4,0,0,2,2,0,1,0,1,0,1,0,1
Tennis,6,2,3,11,0,2,4,6,0,0,2,2,1,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Traditional Boat Race,5,3,0,8,2,0,0,2,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,1,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triathlon,0,0,1,1,0,0,0,0,0,1,0,1,2,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volleyball,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water polo,1,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterskiing,2,1,0,3,4,7,2,13,2,2,3,7,0,0,3,3,3,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wushu,0,0,0,0,4,3,6,13,2,3,4,9,1,4,1,6,6,3,3,12,4,4,3,11,3,3,1,7,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0
