Cabor,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total
Archery,0,0,0,0,1,4,1,6,3,2,1,6,3,2,2,7,0,0,1,1,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnis,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,3
Athletics,12,13,19,44,1,6,5,12,8,3,3,14,9,11,9,29,3,1,4,8,8,8,4,20,4,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquatics,6,7,8,21,4,5,3,12,4,3,1,8,4,5,6,15,13,9,11,33,1,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Badminton,1,0,3,4,4,5,1,10,2,1,6,9,0,0,0,0,0,1,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseball,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basketball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billiards and snooker,2,4,0,6,0,0,3,3,0,1,5,6,8,2,1,11,1,2,5,8,2,4,0,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodybuilding,1,1,2,4,0,0,1,1,0,1,0,1,2,0,0,2,2,0,1,3,1,1,2,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowling,0,0,0,0,3,0,4,7,3,3,3,9,4,6,0,10,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxing,6,2,2,10,0,1,10,11,0,0,3,3,8,4,2,14,0,0,0,0,0,3,4,7,0,4,2,6,0,0,3,3,0,0,2,2,0,0,0,0,0,0,0,0
Canoeing,0,0,1,1,4,3,0,7,0,0,0,0,0,1,2,3,0,0,0,0,1,1,3,5,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chess,0,0,0,0,0,2,3,5,0,0,0,0,0,4,3,7,0,0,3,3,8,2,2,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycling,0,3,2,5,4,3,3,10,4,2,1,7,2,4,3,9,0,0,0,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
