Cabor,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total
Archery,0,3,2,5,2,2,3,7,2,3,1,6,1,0,1,2,1,1,0,2,2,1,0,3,1,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Athletics,17,13,10,40,6,4,7,17,4,6,3,13,6,4,3,13,2,3,3,8,11,10,12,33,1,5,6,12,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Badminton,1,2,3,6,3,3,1,7,1,0,3,4,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basketball,1,1,0,2,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billiards and snooker,4,1,2,7,2,1,1,4,1,1,3,5,2,2,3,7,1,0,4,5,1,1,6,8,1,5,5,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bodybuilding,2,0,1,3,0,1,2,3,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxing,7,2,1,10,0,4,4,8,0,1,3,4,3,4,3,10,0,0,2,2,2,1,5,8,2,2,2,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1
Canoeing,5,2,5,12,4,5,1,10,0,0,1,1,0,0,1,1,2,2,2,6,0,2,5,7,5,5,2,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Chess,7,5,4,16,5,4,7,16,0,0,1,1,0,2,2,4,0,0,0,0,2,6,1,9,4,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinlone,2,4,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,6,0,2,4,6,0,2,4,6,0,0,0,0,0,0,0,0
Cycling,3,6,3,12,5,4,3,12,0,1,1,2,2,1,2,5,1,0,0,1,1,1,3,5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diving,0,0,0,0,0,2,4,6,8,3,1,12,0,0,0,0,0,2,2,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equestrian,0,1,1,2,2,2,4,8,3,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Field hockey,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Football,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Futsal,2,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
